"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.028167187E0,-5.328562856E-1,-3.769724369E-1,-1.911258698E-1,6.801272950E-1
1.033143176E0,-2.286128104E-1,-2.317879498E-1,-3.517465591E-1,4.792860447E-1
1.038119166E0,-4.492497444E-2,-1.677870601E-1,-4.442462921E-1,4.769963511E-1
1.043095155E0,2.385423183E-1,-9.948734194E-3,-2.599802017E-1,3.529746737E-1
1.048071145E0,2.764781713E-1,8.336892724E-2,3.932771683E-1,4.879113530E-1
1.053047135E0,2.987241745E-1,1.034307331E-1,6.565580368E-1,7.286991867E-1
1.058023124E0,2.796911597E-1,1.274190098E-1,5.613927841E-1,6.400192239E-1
1.062999114E0,2.673117518E-1,1.700451672E-1,3.054466248E-1,4.400779160E-1
1.067975103E0,2.175614834E-1,2.360235006E-1,1.323213577E-1,3.472017189E-1
1.072951093E0,1.628093123E-1,2.632738054E-1,5.566501617E-2,3.145132156E-1
1.077927082E0,1.549193859E-1,2.424747795E-1,5.096340179E-2,2.922179035E-1
1.082903072E0,1.562332511E-1,1.931745112E-1,6.057929993E-2,2.557246021E-1
1.087879062E0,1.533027887E-1,1.158793792E-1,6.533145905E-2,2.029728433E-1
1.092855051E0,1.419801116E-1,4.417320341E-2,7.471084595E-2,1.664071347E-1
1.097831041E0,1.127864718E-1,1.550393179E-3,5.069065094E-2,1.236637944E-1
1.102807030E0,9.859538078E-2,-4.080830887E-2,-8.238315582E-2,1.348085737E-1
1.107783020E0,8.441978693E-2,-5.921811610E-2,-1.668529510E-1,1.961463560E-1
1.112759010E0,5.560272932E-2,-7.761675864E-2,-1.556043625E-1,1.825616125E-1
1.117734999E0,6.444895267E-2,-9.611556679E-2,-1.586446762E-1,1.963670109E-1
1.122710989E0,1.061015725E-1,-1.146064699E-1,-1.711225510E-1,2.316789030E-1
1.127686978E0,1.660935879E-1,-1.234897077E-1,-1.834669113E-1,2.765807213E-1
1.132662968E0,2.447861433E-1,-1.225970685E-1,-2.099676132E-1,3.450169500E-1
1.137638957E0,3.277782798E-1,-1.072660610E-1,-2.315139771E-1,4.153833532E-1
1.142614947E0,4.291769266E-1,-5.414049327E-2,-2.766275406E-1,5.134655038E-1
1.147590937E0,5.060924292E-1,-1.576460339E-2,-4.210901260E-1,6.585552094E-1
1.152566926E0,5.586779118E-1,1.293803193E-2,-4.836235046E-1,7.390399827E-1
1.157542916E0,6.349293590E-1,4.179654643E-2,-4.364471436E-1,7.716011608E-1
1.162518905E0,6.636774540E-1,7.077167928E-2,-3.042421341E-1,7.335118743E-1
1.167494895E0,6.791720986E-1,1.185907125E-1,-1.400098801E-1,7.035206203E-1
1.172470885E0,6.626312137E-1,1.562004983E-1,-1.525592804E-2,6.809636292E-1
1.177446874E0,6.431199312E-1,2.118234932E-1,1.333808899E-2,6.772372870E-1
1.182422864E0,5.824189782E-1,2.569726408E-1,-7.239818573E-2,6.406936098E-1
1.187398853E0,4.852098227E-1,2.731051743E-1,-1.337680817E-1,5.726333102E-1
1.192374843E0,3.563910723E-1,2.987683117E-1,-1.519689560E-1,4.892562356E-1
1.197350832E0,2.151173949E-1,3.006434441E-1,-9.885787964E-2,3.826680734E-1
1.202326822E0,5.209773779E-2,3.311160803E-1,-3.676891327E-2,3.372002163E-1
1.207302812E0,-8.995419741E-2,3.234033585E-1,-3.698253632E-2,3.377117082E-1
1.212278801E0,-2.445042133E-1,3.158164024E-1,-1.824855804E-2,3.998191094E-1
1.217254791E0,-3.356769681E-1,3.036569059E-1,2.404308319E-2,4.532820460E-1
1.222230780E0,-4.355353415E-1,2.678152025E-1,1.467084885E-1,5.319204799E-1
1.227206770E0,-4.727790952E-1,2.321330607E-1,2.493610382E-1,5.827407297E-1
1.232182760E0,-5.575039387E-1,1.868041009E-1,3.037099838E-1,6.617750131E-1
1.237158749E0,-6.136465073E-1,1.320196241E-1,2.864418030E-1,6.899566099E-1
1.242134739E0,-6.463997364E-1,6.322066486E-2,2.456521988E-1,6.943878415E-1
1.247110728E0,-6.701020598E-1,-1.437350735E-2,2.242631912E-1,7.067795606E-1
1.252086718E0,-6.703797579E-1,-8.167880774E-2,2.458362579E-1,7.186904154E-1
1.257062707E0,-6.757651567E-1,-1.291822344E-1,2.862558365E-1,7.451771606E-1
1.262038697E0,-6.433254480E-1,-1.761420667E-1,2.883701324E-1,7.266711726E-1
1.267014687E0,-5.591818094E-1,-1.752799749E-1,2.857418060E-1,6.519629938E-1
1.271990676E0,-4.381637275E-1,-1.839938760E-1,2.736749649E-1,5.483969228E-1
1.276966666E0,-3.090685904E-1,-1.736780852E-1,2.474966049E-1,4.323679455E-1
1.281942655E0,-1.862599850E-1,-1.539488733E-1,1.883344650E-1,3.063705409E-1
1.286918645E0,-8.382773399E-2,-1.391418427E-1,1.581859589E-1,2.267384814E-1
1.291894635E0,-6.503939629E-3,-1.148793921E-1,1.425743103E-1,1.832130179E-1
1.296870624E0,2.217739820E-2,-9.558417648E-2,1.651210785E-1,1.920758765E-1
1.301846614E0,6.935769320E-2,-7.651750743E-2,2.017459869E-1,2.266425860E-1
1.306822603E0,9.245419502E-2,-5.777220055E-2,2.523088455E-1,2.748547960E-1
1.311798593E0,8.237618208E-2,-4.889004678E-2,2.549457550E-1,2.723479577E-1
1.316774582E0,4.440599680E-2,-4.978908226E-2,2.195329666E-1,2.294462218E-1
1.321750572E0,2.620935440E-2,-5.563547462E-2,1.891279221E-1,1.988758588E-1
1.326726562E0,3.827989101E-3,-5.219819397E-2,1.494493484E-1,1.583490218E-1
1.331702551E0,-6.094866991E-2,-5.849727243E-2,1.338338852E-1,1.582661684E-1
1.336678541E0,-1.156887412E-1,-5.550513789E-2,1.230993271E-1,1.778149305E-1
1.341654530E0,-1.179450750E-1,-7.184589654E-2,6.973743439E-2,1.547132293E-1
1.346630520E0,-1.534742713E-1,-9.305326641E-2,1.682662964E-2,1.802675728E-1
1.351606510E0,-1.841656566E-1,-1.188805699E-1,-6.886577606E-2,2.297652586E-1
